Gene,NCT Link,Condition,Intervention,Phase,Institution,State,Start Date
ALK,https://clinicaltrials.gov/ct2/show/NCT03779191,"['ALK Gene Rearrangement Positive', 'Non-Squamous Non-Small Cell Neoplasm of Lung']","['Alectinib', 'Bevacizumab']",Phase 2,[],[],"March 20, 2019"
ALK,https://clinicaltrials.gov/ct2/show/NCT03792568,['Colorectal Cancer'],['ALK Inhibitor'],Not Applicable,"['Shanghai Changzheng Hospital', 'Shanghai Changzheng Hospital', 'Shanghai Changzheng Hospital']","['Shanghai', 'Shanghai', 'Shanghai']","March 1, 2019"
ALK,https://clinicaltrials.gov/ct2/show/NCT03654027,['Non-small Cell Lung Cancer'],"['Anlotinib Plus Docetaxel', 'Docetaxel']",Phase 2,[],[],"October 1, 2018"
ALK,https://clinicaltrials.gov/ct2/show/NCT03242915,['Non-small Cell Lung Cancer'],"['Pembrolizumab', 'Carboplatin', 'Pemetrexed']",Phase 2,"['Rush Universtiy Medical Center', 'The University of Michigan Comprehensive Cancer Center', 'Barbara Ann Karmanos Cancer Institute', 'Montefiore Cancer Center', 'Cleveland Clinic', 'Sarah Cannon']","['Illinois', 'Michigan', 'Michigan', 'New York', 'Ohio', 'Tennessee']","October 3, 2017"
ALK,https://clinicaltrials.gov/ct2/show/NCT03164694,['Lung Cancer'],"['Apatinib', 'Pemetrexed', 'Carboplatin']",Phase 2,['Sun Yat-sen University Cancer Center'],['Guangdong'],"May 20, 2017"
ALK,https://clinicaltrials.gov/ct2/show/NCT03991403,['Non-small Cell Lung Cancer'],"['Atezolizumab(Tecentriq)', 'Pemetrexed', 'Bevacizumab', 'Carboplatin', 'Paclitaxel', 'Carboplatin or cisplatin']",Phase 3,[],[],"August 1, 2019"
ALK,https://clinicaltrials.gov/ct2/show/NCT02846792,"['ALK Gene Translocation', 'EGFR Activating Mutation', 'Recurrent Non-Small Cell Lung Carcinoma', 'ROS1 Gene Translocation', 'Stage IIIB Non-Small Cell Lung Cancer AJCC v7', 'Stage IV Non-Small Cell Lung Cancer AJCC v7']","['Nivolumab', 'Plinabulin']",Phase 1,['Fred Hutch/University of Washington Cancer Consortium'],['Washington'],"June 14, 2017"
ALK,https://clinicaltrials.gov/ct2/show/NCT03753685,"['Nonsmall Cell Lung Cancer', 'Brain Metastases']",['X-396(Ensartinib) Capsule'],Phase 2,[],[],December 2018
APC,https://clinicaltrials.gov/ct2/show/NCT03061591,"['Familial Adenomatous Polyposis', 'FAP', 'FAP Gene Mutation']","['Wholistic Turmeric capsules', 'Placebo']",Phase 2,[],[],April 2017
ARID1A,https://clinicaltrials.gov/ct2/show/NCT04042831,"['ARID1A Gene Mutation', 'ATM Gene Mutation', 'ATR Gene Mutation', 'Bile Duct Adenocarcinoma', 'BRCA1 Gene Mutation', 'BRCA2 Gene Mutation', 'BRIP1 Gene Mutation', 'CHEK2 Gene Mutation', 'EMSY Gene Mutation', 'Fanconi Anemia Complementation Group Gene Mutation', 'Metastatic Bile Duct Carcinoma', 'MRE11 Gene Mutation', 'NBN Gene Mutation', 'PALB2 Gene Mutation', 'PTEN Gene Deletion', 'RAD51 Gene Mutation']",['Olaparib'],Phase 2,"['Mayo Clinic in Arizona', 'Dana-Farber Cancer Institute', 'Mayo Clinic', 'Memorial Sloan Kettering Cancer Center', 'M D Anderson Cancer Center']","['Arizona', 'Massachusetts', 'Minnesota', 'New York', 'Texas']","September 30, 2019"
ARID1A,https://clinicaltrials.gov/ct2/show/NCT03842228,"['Advanced Malignant Solid Neoplasm', 'ARID1A Gene Mutation', 'ATM Gene Mutation', 'ATRX Gene Mutation', 'BARD1 Gene Mutation', 'BRCA1 Gene Mutation', 'BRCA2 Gene Mutation', 'BRIP1 Gene Mutation', 'CDK12 Gene Mutation', 'CHEK1 Gene Mutation', 'CHEK2 Gene Mutation', 'FANCA Gene Mutation', 'FANCL Gene Mutation', 'Metastatic Malignant Solid Neoplasm', 'MRE11 Gene Mutation', 'MSH2 Gene Mutation', 'PALB2 Gene Mutation', 'PARP1 Gene Mutation', 'PIK3CA Gene Mutation', 'POLD1 Gene Mutation', 'PPP2R2A Gene Mutation', 'PTEN Gene Mutation', 'RAD51B Gene Mutation', 'RAD51C Gene Mutation', 'RAD51D Gene Mutation', 'RAD54L Gene Mutation', 'Unresectable Malignant Solid Neoplasm', 'XRCC2 Gene Mutation']","['Copanlisib', 'Copanlisib Hydrochloride', 'Durvalumab', 'Olaparib']",Phase 1,[],[],"August 12, 2019"
ASXL1,https://clinicaltrials.gov/ct2/show/NCT03303950,"['Anemia', 'ASXL1 Gene Mutation', 'EZH2 Gene Mutation', 'IDH1 Gene Mutation', 'IDH2 Gene Mutation', 'Plasma Cell Myeloma', 'Primary Myelofibrosis', 'Recurrent Plasma Cell Myeloma', 'Secondary Myelofibrosis', 'Thrombocytopenia']","['Busulfan', 'Cyclophosphamide', 'Fludarabine', 'Hematopoietic Cell Transplantation', 'Laboratory Biomarker Analysis']",Phase 2,['Huntsman Cancer Institute/University of Utah'],['Utah'],"January 29, 2018"
ATM,https://clinicaltrials.gov/ct2/show/NCT03962114,"['Ataxia Telangiectasia', 'ATM Gene Mutation']",['Vitamin B3'],Phase 2,['Radboudumc'],[],"March 18, 2019"
ATM,https://clinicaltrials.gov/ct2/show/NCT04042831,"['ARID1A Gene Mutation', 'ATM Gene Mutation', 'ATR Gene Mutation', 'Bile Duct Adenocarcinoma', 'BRCA1 Gene Mutation', 'BRCA2 Gene Mutation', 'BRIP1 Gene Mutation', 'CHEK2 Gene Mutation', 'EMSY Gene Mutation', 'Fanconi Anemia Complementation Group Gene Mutation', 'Metastatic Bile Duct Carcinoma', 'MRE11 Gene Mutation', 'NBN Gene Mutation', 'PALB2 Gene Mutation', 'PTEN Gene Deletion', 'RAD51 Gene Mutation']",['Olaparib'],Phase 2,"['Mayo Clinic in Arizona', 'Dana-Farber Cancer Institute', 'Mayo Clinic', 'Memorial Sloan Kettering Cancer Center', 'M D Anderson Cancer Center']","['Arizona', 'Massachusetts', 'Minnesota', 'New York', 'Texas']","September 30, 2019"
ATM,https://clinicaltrials.gov/ct2/show/NCT03344965,"['Metastatic Breast Cancer', 'Invasive Breast Cancer', 'Somatic Mutation Breast Cancer (BRCA1)', 'Somatic Mutation Breast Cancer (BRCA2)', 'CHEK2 Gene Mutation', 'ATM Gene Mutation', 'PALB2 Gene Mutation', 'RAD51 Gene Mutation', 'BRIP1 Gene Mutation', 'NBN Gene Mutation']",['Olaparib'],Phase 2,"['University of Alabama at Birmingham', 'University of California, San Francisco', 'University of Chicago', 'Indiana University', 'Johns Hopkins University', 'Beth Israel Deaconess Medical Center', ""Brigham and Women's Hospital"", 'Dana-Farber Cancer Institute', 'Memorial Sloan Kettering Cancer Center', 'Duke University', 'University of Pennsylvania', 'University of Pittsburgh']","['Alabama', 'California', 'Illinois', 'Indiana', 'Maryland', 'Massachusetts', 'Massachusetts', 'Massachusetts', 'New York', 'North Carolina', 'Pennsylvania', 'Pennsylvania']","April 1, 2018"
